Group,Field,Gender,University,Semester
Web Development (Female) -  Group 4,Web Development,Female,Rawalpindi Women University,7th
Web Development (Female) -  Group 5,Web Development,Female,COMSATS University Islamabad,7th
Web Development (Female) -  Group 5,Web Development,Female,Szabist karachi campus,7th
Web Development (Female) -  Group 5,Web Development,Female,Sir Syed CASE IT,7th
Web Development (Female) -  Group 5,Web Development,Female,International Islamic University Islamabad,7th
Web Development (Male) -  Group 1,Web Development,Male,Khwaja fareed university of engineering and information technology,7th
Web Development (Male) -  Group 1,Web Development,Male,COMSATS university Islamabad attock campus,7th
Web Development (Male) -  Group 1,Web Development,Male,Khwaja fareed university of engineering and information technology,7th
Web Development (Male) -  Group 1,Web Development,Male,Numl,7th
Web Development (Male) -  Group 2,Web Development,Male,International Islamic University Islamabad,7th
Web Development (Male) -  Group 2,Web Development,Male,Riphah international University,7th
Web Development (Male) -  Group 2,Web Development,Male,Foundation University Islamabad,7th
Web Development (Male) -  Group 2,Web Development,Male,Riphah international university Islamabad,7th
Web Development (Male) -  Group 3,Web Development,Male,NFC-IET,7th
Web Development (Male) -  Group 3,Web Development,Male,DHA Suffa university,7th
Marketing & Lead Generation (Female) -  Group 1,Marketing & Lead Generation,Female,Murray Graduate College Sialkot,7th 
Web Development (Female) -  Group 1,Web Development,Female,Air University Islamabad,7th completed
Web Development (Female) -  Group 1,Web Development,Female,Muhammad Ali Jinnah University,7th completed
AI/ML (Female) -  Group 6,AI/ML,Female,Fatima Jinnah Women University,8th
AI/ML (Female) -  Group 7,AI/ML,Female,National university of science and technology (NUST),8th
AI/ML (Male) -  Group 2,AI/ML,Male,Muhammad Ali Jinnah University,8th
AI/ML (Male) -  Group 2,AI/ML,Male,Air University Islamabad,8th
AI/ML (Male) -  Group 4,AI/ML,Male,COMSATS University Islamabad,8th
AI/ML (Male) -  Group 6,AI/ML,Male,Virtual University Of Pakistan,8th
AI/ML (Male) -  Group 6,AI/ML,Male,Virtual University Of Pakistan,8th
AI/ML (Male) -  Group 7,AI/ML,Male,Bahria University Lahore Campus,8th
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Bahria University Islamabad,8th
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,Government college University Faisalabad,8th
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,National University of Modern Languages (NUML) Islamabad,8th
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,University of Chakwal,8th
Data Science (Female) -  Group 1,Data Science,Female,Punjab University Lahore,8th
Data Science (Male) -  Group 2,Data Science,Male,National University of Modern Languages (NUML) Islamabad,8th
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,The Islamia University of Bahawalpur,8th
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,Numl,8th
SQA (Female) -  Group 1,SQA,Female,PMAS ARID AGRICULTURE UNIVERSITY,8th
SQA (Male) -  Group 1,SQA,Male,Muhammad Ali Jinnah University,8th
SQA (Male) -  Group 1,SQA,Male,Muhammad Ali Jinnah University,8th
Web Development (Female) -  Group 1,Web Development,Female,Sindh Madarssatul Islam University,8th
Web Development (Female) -  Group 3,Web Development,Female,BZU Multan,8th
Web Development (Female) -  Group 5,Web Development,Female,Virtual University Of Pakistan,8th
Web Development (Male) -  Group 2,Web Development,Male,National University of Modern Languages (NUML) Islamabad,8th
Web Development (Male) -  Group 3,Web Development,Male,University of Agriculture Faisalabad,8th
Web Development (Male) -  Group 4,Web Development,Male,Szabist,8th
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,University Of Sindh,Final
AI/ML (Female) -  Group 1,AI/ML,Female,Arid Agricultural University Rawalpindi,Final
Web Development (Male) -  Group 3,Web Development,Male,Sukkur IBA,Final
AI/ML (Female) -  Group 6,AI/ML,Female,Sukkur IBA,Fresh graduate
AI/ML (Male) -  Group 5,AI/ML,Male,NUST,Fresh graduate
AI/ML (Male) -  Group 6,AI/ML,Male,Sukkur IBA,Fresh graduate
AI/ML (Male) -  Group 7,AI/ML,Male,Uet Mardan,Fresh graduate
AI/ML (Male) -  Group 7,AI/ML,Male,PAF-IAST,Fresh graduate
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,SZABIST Islamabad,Fresh graduate
SQA (Female) -  Group 1,SQA,Female,NUST,Fresh graduate
Web Development (Female) -  Group 3,Web Development,Female,"Capital University of Science and Technology, Islamabad",Fresh graduate
AI/ML (Male) -  Group 2,AI/ML,Male,COMSATS University Islamabad,Fresher
